index,Job Profile Skills
Requirements Analysis,59
Big Data Management,59
Big Data,58
Information Management,58
Technical Troubleshooting,58
Repository Management,58
Prototyping,58
Organizational Understanding,58
Metadata Repository,58
Query Tools,58
Database Design,58
Data Architecture,58
Data Movement,52
Information Assurance,51
Database (Access),45
Database Access,13
Machine Learning,9
Deep Learning,9
Domain Knowledge,8
Thought Leadership,8
Technology Research,8
Technological Innovation,8
Cloud,8
Statistics,8
Containerization,8
Programming,8
Peer-Reviewed Publications,8
Database Management,8
Communication Effectiveness,4
Analytical Mindset,4
Initiative,3
Information Capture,3
Detail-Oriented,3
Data Mining,3
Accuracy,3
Standard Operating Procedure (SOP),2
Core Application Systems,2
Data Entry Management,2
Research Analysis,2
Quantitative Research,2
Quality Management,2
Information Security Management,1
Business Process Improvements,1
Web Application Development,1
Web Applications,1
Web Design Software,1
Web Development,1
Web Services,1
WebTrends,1
AB Testing,1
Business Statistics,1
Software Security Assurance,1
Challenge Driven,1
Data Modeling,1
Data Science,1
E-Business,1
Scripting Languages,1
Business Mathematics,1
Costs Engineering,1
Data Analysis Tools,1
Data Gathering Analysis,1
Global Economics,1
Web Application Design,1
Open Systems,1
Rapid Application Development (RAD),1
Disaster Recovery,1
Network Security,1
Operational Functions,1
Problem Management,1
Process Management,1
Threat Management,1
Information Security Auditing,1
Information Security Architecture,1
Firewall Management,1
Cyber Security Risk Management,1
Problem Solving,1
Cost-Benefit Analysis,1
Computer Crimes,1
Coaching Others,1
Critical Thinking,1
Decision Making,1
HCI Design,1
Open Platforms,1
Information Security Operations,1
Microsoft Excel,1
